test-num,1,1,1, 
test-text, I am test text, I am test text, I am test text, 
one, one, ,,
two, two, ,,
three, three, ,,
village, Village, ,,
household, Household, ,,
households, Households, ,,
individual, Individual, ,,
individuals, Individuals, ,,
add-item-to-list,0, ,,
default-village-name, New village, ,,
title, Symbai, Symbai, Symbai, 
sync, Sync, Sync, Sync, 
languages, Choose language, Choose language, Choose language, 
english, English, English, English, 
khasi, Khasi, Khasi, Khasi, 
hindi, Hindi, Hindi, Hindi, 
user-id, Your user ID, User ID, User ID, 
save, Save, Save, Save, 
back, Back, Back, Back, 
off, Off, Off, Off, 
villages, Villages, Villages, Villages, 
list-empty, List empty, ,,
delete, Delete, ,,
delete-are-you-sure, Are you sure you want to delete this?, ,,
save-are-you-sure, Are you sure you want to save changes?, ,,
quick-name, New person name, ,,
quick-add, Quick add, ,,
find-individual, Find individual, ,,
filter, Filter, ,,
off, Off, Off, Off, 
name, Name, ,,
sync-all, Sync me!, ,,
sync-syncall, Sync everything, ,,
export-data, Exporting data, ,,
sync-download, Download main DB, ,,
sync-export, Email main DB, ,,
email-local, Email local DB, ,,
debug, Debug, ,,
sync-back, Back, ,,
sync-prof, Profile, ,,
village-name, Village name, Village name, Village name, 
block, Block, Block, Block, 
district, District, District, District, 
car, Accessible by car, ,,
household-list, Household list, ,,
amenities, Amenities, ,,
school, School, ,,
present, Present, ,,
closest-access, Closest place of access, ,,
house-gps, GPS, ,,
toilet-gps, GPS, ,,
school, School, ,,
school-closest-access, Access, ,,
school-gps, GPS, ,,
hospital, Hospital/Health care centre, ,,
hospital-closest-access, Access, ,,
hospital-gps, GPS, ,,
post-office, Post Office, ,,
post-office-closest-access, Access, ,,
post-office-gps, GPS, ,,
railway-station, Railway station, ,,
railway-station-closest-access, Access, ,,
railway-station-gps, GPS, ,,
state-bus-service, Inter-state bus service, ,,
state-bus-service-closest-access, Access, ,,
state-bus-service-gps, GPS, ,,
district-bus-service, Inter-village/district bus service, ,,
district-bus-service-closest-access, Access, ,,
district-bus-service-gps, GPS, ,,
panchayat, Village Panchayat Office, ,,
panchayat-closest-access, Access, ,,
panchayat-gps, GPS, ,,
NGO, Presence of NGO's working with them, ,,
NGO-closest-access, Access, ,,
NGO-gps, GPS, ,,
market, Market, ,,
market-closest-access, Access, ,,
market-gps, GPS, ,,
household-name, Household name, ,,
default-household-name, A household, ,,
location, House location, ,,
elevation, Elevation, ,,
toilet-location, Toilet location, ,,
children, Children, ,,
male, Male, ,,
female, Female, ,,
num-pots, Number of pots, ,,
adults, Adults, ,,
add-individual, Add individual, ,,
default-individual-name, A person, ,,
default-family-name, A family, ,,
default-photo-id, ???, ,,
name-display, Name, ,,
photo-id-display, Photo ID, ,,
family-display, Family, ,,
details-button, Details, ,,
family-button, Family, ,,
migration-button, Migration, ,,
income-button, Income, ,,
geneaology-button, Geneaology, ,,
social-button, Social, ,,
agreement-button, Agreement, ,,
is-a-child, Child, ,,
change-photo, Change photo, ,,
details-name, Name, ,,
details-photo-id, Photo ID, ,,
details-family, Family, ,,
tribe, Tribe, ,,
sub-tribe, Sub tribe, ,,
khasi, Khasi, ,,
khynriam, Khynriam, ,,
pnar, Pnar, ,,
bhoi, Bhoi, ,,
war, War, ,,
other, Other, ,,
age, Age, ,,
gender, Gender, ,,
education, Education, ,,
illiterate, Illiterate, ,,
literate, Literate, ,,
primary, Primary 1-5, ,,
middle, Middle 6-8, ,,
high, High 9-10, ,,
secondary, Higher Secondary, ,,
university, University, ,,
spouse, Spouse, ,,
change-id, Change, ,,
head-of-house, Head of house, ,,
marital-status, Marital status, ,,
ever-married, Ever married, ,,
currently-married, Currently married, ,,
currently-single, Currently single, ,,
seperated, Seperated/divorced, ,,
times-married, How many times married, ,,
change-spouse, Change/add spouse, ,,
children-living, Living, ,,
children-dead, Dead, ,,
children-together, Living together, ,,
children-apart, Living apart, ,,
residence-after-marriage, Residence after marriage, ,,
birthplace, Birthplace, ,,
spouse-village, Spouses natal village, ,,
num-siblings, Number of living siblings of the same sex born from same mother, ,,
birth-order, Birth order amoung currently living same sex siblings born from same mother, ,,
length-time, Length of time lived in this village (years), ,,
place-of-birth, Place of birth, ,,
num-residence-changes, Number of time place of residence changed since birth, ,,
village-visits-month, Number of times you have visited another village in the last month, ,,
village-visits-year, Number of times you have visited another village in the last year (i.e. betwen last summer and this summer), ,,
occupation, Occupation, ,,
occupation, Occupation, ,,
agriculture, Agriculture, ,,
gathering, Gathering, ,,
labour, Labour, ,,
cows, Cows, ,,
fishing, Fishing, ,,
num-people-in-house, People living in house, ,,
contribute, Contribute to family earnings?, ,,
own-land, Own land?, ,,
rent-land, Rent out your land?, ,,
hire-land, Hire land?, ,,
crops, Crops, ,,
unit, Unit, ,,
quantity, Quantity, ,,
used-or-eaten, Used/Eaten, ,,
sold, Sold, ,,
seed, Seed (hybrid/local), ,,
house-type, House type, ,,
concrete, Concrete, ,,
tin, Tin, ,,
thatched, Thatched, ,,
loan, Outstanding loans, ,,
earning, One day's earnings, ,,
in-the-home, In the home, ,,
radio, Radio, ,,
tv, TV, ,,
mobile, Mobile phone, ,,
visit-market, Tribal market visits, ,,
town-sell, Town or city visits, ,,
default-crop-name, A crop, ,,
crop-name, Crop name, ,,
crop-unit, Crop unit, ,,
crop-used, Used or eaten, ,,
crop-sold, Sold, ,,
crop-seed, Seed, ,,
mother, Mother, ,,
father, Father, ,,
change-mother, Change mother, ,,
change-father, Change father, ,,
alive, Alive, ,,
sex, Sex, ,,
social-type, Type, ,,
friendship, Friendship, ,,
knowledge, Knowledge, ,,
prestige, Prestige, ,,
social-one, One, ,,
social-two, Two, ,,
social-three, Three, ,,
social-four, Four, ,,
social-five, Five, ,,
social-relationship, Relationship, ,,
social-residence, Residence, ,,
social-strength, Strength, ,,
mother, Mother, ,,
father, Father, ,,
sister, Sister, ,,
brother, Brother, ,,
spouse, Spouse, ,,
children, Children, ,,
co-wife, Co-wife, ,,
spouse-mother, Spouse's mother, ,,
spouse-father, Spouse's father, ,,
spouse-brother-wife, Spouse's brother's wife, ,,
spouse-sister-husband, Spouse's sister's husband, ,,
friend, Friend, ,,
neighbour, Neighbour, ,,
same, Same, ,,
daily, Daily, ,,
weekly, Weekly, ,,
monthly, Monthly, ,,
less, Less, ,,
